,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
logdesc_heart_fullhp_temple,Increased maximum health by $0 and restored health to $1 (regained $2 health),"Максимум здоровья увеличен до $0, здоровье восстановлено до $1 (получено $2 ОЗ)",A vida máxima aumentou em $0 e foi restaurada para $1 ($2 de vida recuperada),Salud máxima aumentada en $0 y salud restaurada a $1 (has recuperado $2 de salud),Maximale LP um $0 erhöht und LP auf $1 wiederhergestellt ($2 LP zurückerhalten),PV max. augmentés de $0 et PV restaurés à $1 ($2 PV récupérés),Salute massima aumentata di $0 e salute ripristinata a $1 (hai ottenuto $2 salute),Zwiększono maksymalne zdrowie o $0 i przywrócono zdrowie do $1 (odzyskano $2 pkt. zdrowia),将生命值上限提高 $0 并将生命值回复到 $1 (重获 $2 生命值),最大HPが $0 増加し、HPが $1 まで回復 (HP $2 を取り戻す),최대 체력이 $0 증가했으며 체력을 $1(으)로 회복했습니다 ($2 체력 회복),,,

perkdesc_exploding_corpses,You gain 20% explosive resistance. Enemies explode upon death.\n(Edited),,,,,,,,,,,,,
perkdesc_teleportitis_dodge,You take 20% more projectile damage. You teleport a short distance away when an enemy projectile is near.\n(Edited),,,,,,,,,,,,,
perkdesc_glass_cannon,"You take 400% more damage, but your spells are 400% more powerful\n(Edited)",,,,,,,,,,,,,
perkdesc_vampirism,"You take 25% more damage, but can replenish health by drinking blood. Blood doesn't affect satiation level.\n(Edited)",,,,,,,,,,,,,
z_old_perkdesc_glass_cannon,"You lose 80% maximum health and health gained, but your spells are 500% more powerful\n(Edited)",,,,,,,,,,,,,
z_old_perkdesc_vampirism,"You lose 25% maximum health and health gained, but can replenish health by drinking blood. Blood doesn't affect satiation level.\n(Edited)",,,,,,,,,,,,,

z_old_logdesc_heart,Increased maximum health to $0 (regained $1 health),Максимум здоровья увеличен до $0 (получено $1 ОЗ),A vida máxima aumentou para $0 ($1 de vida recuperada),Salud máxima aumentada a $0 (has recuperado $1 de salud),Maximale LP auf $0 erhöht ($1 LP zurückerhalten),A augmenté les PV max. à $0 ($1 PV récupérés),Salute massima aumentata a $0. (hai ottenuto $1 salute),Zwiększono maksymalne zdrowie do $0 (odzyskano $1 pkt. zdrowia),将生命值上限提高为 $0 (重获 $1 生命值),最大ヘルスが $0 まで増加しました (HP $1 を取り戻す),최대 체력이 $0(으)로 증가했습니다. ($1 체력 회복),,,
z_old_logdesc_heart_better,Increased maximum health to $0 (regained $1 health),Максимум здоровья увеличен до $0 (получено $1 ОЗ),A vida máxima aumentou para $0 ($1 de vida recuperada),Salud máxima aumentada a $0 (has recuperado $1 de salud),Maximale LP auf $0 erhöht ($1 LP zurückerhalten),A augmenté les PV max. à $0 ($1 PV récupérés),Salute massima aumentata a $0. (hai ottenuto $1 salute),Zwiększono maksymalne zdrowie do $0 (odzyskano $1 pkt. zdrowia),将生命值上限提高为 $0 (重获 $1 生命值),最大ヘルスが $0 まで増加しました (HP $1 を取り戻す),최대 체력이 $0(으)로 증가했습니다. ($1 체력 회복),,,
z_old_logdesc_heart_evil,Increased maximum health to $0 (regained $1 health) ...with the cost of being cursed!,Максимум здоровья увеличен до $0 (получено $1 ОЗ) ...но за это вы были прокляты!,A vida máxima aumentou para $0 ($1 de vida recuperada)... mas sofreu uma maldição!,Salud máxima aumentada a $0 (has recuperado $1 de salud)... ¡a cambio de recibir una maldición!,"Maximale LP auf $0 erhöht ($1 LP zurückerhalten) … mit dem Risiko, verflucht zu werden!",A augmenté les PV max. à $0 ($1 PV récupérés)... au prix d'une malédiction !,Salute massima aumentata a $0. (hai ottenuto $1 salute) ...al costo di una maledizione!,Zwiększono maksymalne zdrowie do $0 (odzyskano $1 pkt. zdrowia)... kosztem otrzymania klątwy!,将生命值上限提高为 $0 (重获 $1 生命值) ...以受到诅咒为代价！,最大ヘルスが $0 まで増加しました (HP $1 を取り戻す)...代償として呪われる！,최대 체력이 $0(으)로 증가했습니다. ($1 체력 회복). 대신 저주를 받았습니다!,,,
